"CVEGEO","POB_0a2","POB_3a5","POB_6a11","POB_12a14","POB_15a19","POB_20a59","POB_60ymas","POBM_0a2","POBM_3a5","POBM_6a11","POBM_12a14","POBM_15a19","POBM_20a59","POBM_60ymas","POBF_0a2","POBF_3a5","POBF_6a11","POBF_12a14","POBF_15a19","POBF_20a59","POBF_60ymas"
"130270003",68,79,178,115,191,709,321,43,36,100,64,90,323,151,25,43,78,51,101,386,170
"130270005",63,62,145,72,117,531,131,37,32,67,37,61,255,65,26,30,78,35,56,276,66
"130270007",8,4,14,12,10,41,11,5,3,5,4,5,21,6,3,1,9,8,5,20,5
"130270008",2,1,2,2,2,8,8,1,0,1,2,2,4,5,1,1,1,0,0,4,3
"130270009",0,2,3,1,0,8,3,0,2,3,0,0,4,2,0,0,0,1,0,4,1
"130270010",9,6,7,5,7,42,18,4,2,3,3,3,20,12,5,4,4,2,4,22,6
"130270011",11,16,22,13,17,94,26,3,7,10,7,8,43,15,8,9,12,6,9,51,11
"130270012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130270013",6,4,3,1,5,32,13,3,2,2,0,3,16,6,3,2,1,1,2,16,7
"130270014",6,8,7,7,9,37,13,3,4,6,4,5,16,7,3,4,1,3,4,21,6
"130270015",19,14,28,16,27,116,43,12,5,12,9,14,52,21,7,9,16,7,13,64,22
"130270016",5,3,7,2,2,25,12,2,3,2,1,1,11,6,3,0,5,1,1,14,6
"130270018",4,3,7,7,7,44,18,2,1,3,3,4,22,8,2,2,4,4,3,22,10
"130270020",24,36,90,43,72,328,129,14,22,32,20,35,153,64,10,14,58,23,37,175,65
"130270021",1,2,2,2,2,19,10,1,2,1,0,1,8,6,0,0,1,2,1,11,4
"130270022",7,6,14,7,8,53,23,4,5,7,3,4,27,12,3,1,7,4,4,26,11
"130270023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130270025",64,49,91,55,86,356,81,28,24,45,22,41,163,46,36,25,46,33,45,193,35
"130270026",14,16,32,8,29,105,19,6,9,11,4,16,55,10,8,7,21,4,13,50,9
"130270027",1,0,0,0,0,5,2,0,0,0,0,0,3,1,1,0,0,0,0,2,1
"130270028",5,17,34,15,20,124,58,3,4,16,6,12,60,27,2,13,18,9,8,64,31
"130270029",11,5,11,4,12,52,18,5,4,7,2,3,26,11,6,1,4,2,9,26,7
"130270030",8,2,14,14,14,59,14,2,1,9,4,8,29,8,6,1,5,10,6,30,6
"130270031",5,10,8,8,12,63,20,2,5,3,4,6,29,9,3,5,5,4,6,34,11
"130270032",13,7,16,18,24,108,35,8,2,4,9,13,55,21,5,5,12,9,11,53,14
"130270033",46,43,128,77,75,358,140,29,22,62,33,35,170,59,17,21,66,44,40,188,81
"130270034",108,133,243,132,208,1003,281,57,67,115,61,93,448,142,51,66,128,71,115,555,139
"1302700340088",108,133,243,132,208,1003,281,57,67,115,61,93,448,142,51,66,128,71,115,555,139
"130270035",15,23,44,18,36,173,55,9,9,20,12,20,82,24,6,14,24,6,16,91,31
"130270036",69,98,200,111,150,724,293,35,58,103,56,70,345,126,34,40,97,55,80,379,167
"130270037",47,60,107,99,118,480,284,23,26,51,52,56,205,125,24,34,56,47,62,275,159
"130270038",15,12,29,14,23,150,56,3,5,14,4,9,78,27,12,7,15,10,14,72,29
"130270039",1,0,3,2,3,7,1,0,0,1,0,1,3,0,1,0,2,2,2,4,1
"130270040",36,35,77,35,58,247,55,19,18,35,20,27,117,30,17,17,42,15,31,130,25
"130270041",77,71,168,77,149,672,218,38,30,80,47,72,315,105,39,41,88,30,77,357,113
"130270043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130270044",6,9,19,5,9,63,7,4,5,10,2,4,38,3,2,4,9,3,5,25,4
"130270045",1,0,3,1,0,16,6,1,0,2,0,0,10,5,0,0,1,1,0,6,1
"130270047",5,8,15,12,6,60,15,4,6,10,6,4,29,7,1,2,5,6,2,31,8
"130270048",13,4,17,12,9,65,25,5,2,5,5,6,32,13,8,2,12,7,3,33,12
"130270049",2,4,18,9,4,42,8,2,3,12,7,2,22,5,0,1,6,2,2,20,3
"130270050",8,19,27,16,17,123,57,3,10,12,9,9,60,28,5,9,15,7,8,63,29
"130270051",16,17,26,18,30,98,24,5,8,10,7,15,54,10,11,9,16,11,15,44,14
"130270052",4,3,17,7,7,34,5,2,1,10,3,4,17,2,2,2,7,4,3,17,3
"130270053",2,3,3,1,5,25,16,2,3,0,0,4,13,7,0,0,3,1,1,12,9
"130270054",5,4,11,4,5,28,6,2,3,3,2,1,14,2,3,1,8,2,4,14,4
"130270055",0,0,0,0,0,3,6,0,0,0,0,0,3,3,0,0,0,0,0,0,3
"130270058",0,0,1,1,2,6,3,0,0,1,1,1,3,1,0,0,0,0,1,3,2
"130270059",24,23,74,28,60,246,60,15,10,34,13,35,124,25,9,13,40,15,25,122,35
"130270061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130270062",2,2,2,2,3,6,2,0,2,1,1,0,3,1,2,0,1,1,3,3,1
"130270069",19,21,34,12,25,150,46,9,8,20,8,12,73,25,10,13,14,4,13,77,21
"130270070",0,0,0,0,0,2,4,0,0,0,0,0,1,2,0,0,0,0,0,1,2
"130270072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130270073",2,2,3,1,2,14,5,2,1,0,0,0,8,2,0,1,3,1,2,6,3
"130270077",16,6,29,17,29,91,25,10,4,17,12,8,48,14,6,2,12,5,21,43,11
"130270079",12,18,45,12,22,118,57,7,6,21,8,13,54,31,5,12,24,4,9,64,26
"130270084",0,1,0,1,1,10,3,0,1,0,1,1,4,2,0,0,0,0,0,6,1
"130270086",1,2,1,0,5,15,9,0,1,0,0,3,9,4,1,1,1,0,2,6,5
"130270087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130270088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130270089",1,0,4,1,2,12,6,0,0,2,0,2,5,4,1,0,2,1,0,7,2
"130270090",20,18,39,23,38,181,63,12,10,18,14,19,83,37,8,8,21,9,19,98,26
"130270091",3,4,9,7,8,38,11,1,2,3,5,3,20,6,2,2,6,2,5,18,5
"130270092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130270093",6,2,9,6,3,19,9,2,2,5,2,1,10,4,4,0,4,4,2,9,5
"130270098",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130270099",1,2,3,2,3,16,4,1,1,0,1,1,7,2,0,1,3,1,2,9,2
"130270100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130270102",2,4,19,9,14,46,12,1,3,11,4,3,24,6,1,1,8,5,11,22,6
"130270106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130270109",5,8,9,2,4,27,1,2,6,4,0,3,12,1,3,2,5,2,1,15,0
"130270112",9,7,8,10,25,56,17,4,7,1,3,14,29,6,5,0,7,7,11,27,11
"130270113",3,1,1,2,1,10,10,1,1,0,1,1,2,6,2,0,1,1,0,8,4
"130270114",3,2,9,4,7,11,3,2,1,5,2,2,5,1,1,1,4,2,5,6,2
"130270115",6,3,9,7,9,48,9,2,1,6,6,4,26,4,4,2,3,1,5,22,5
"130270117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130270118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130270119",3,2,4,1,3,9,1,2,1,2,1,1,5,1,1,1,2,0,2,4,0
"130270120",0,3,6,2,2,21,4,0,3,2,1,2,11,3,0,0,4,1,0,10,1
"130270121",5,12,14,7,14,69,30,2,7,10,2,8,30,16,3,5,4,5,6,39,14
"130270122",25,20,44,11,39,141,25,12,14,23,8,22,69,12,13,6,21,3,17,72,13
"130270123",7,9,17,5,10,46,11,6,5,8,2,6,23,4,1,4,9,3,4,23,7
"130280001",2119,2352,4776,2284,3664,23973,5141,1070,1219,2403,1151,1845,10872,2419,1049,1133,2373,1133,1819,13101,2722
"1302800010136",54,48,116,45,77,491,94,23,25,61,23,34,230,44,31,23,55,22,43,261,50
"1302800010189",85,103,178,91,166,881,168,41,55,79,47,88,389,80,44,48,99,44,78,492,88
"1302800010193",86,87,193,112,151,1056,270,37,39,93,53,76,489,120,49,48,100,59,75,567,150
"1302800010206",60,71,141,75,100,816,262,25,37,73,37,55,370,128,35,34,68,38,45,446,134
"1302800010210",96,121,281,136,213,1520,333,44,66,140,68,103,680,154,52,55,141,68,110,840,179
"1302800010244",116,123,237,96,169,1213,276,58,61,122,54,91,543,136,58,62,115,42,78,670,140
"1302800010259",81,86,159,81,138,962,263,38,44,78,43,72,430,121,43,42,81,38,66,532,142
"1302800010263",134,138,252,123,174,1406,387,77,57,128,64,77,629,179,57,81,124,59,97,777,208
"1302800010314",178,214,376,186,287,1840,397,93,107,200,94,137,831,188,85,107,176,92,150,1009,209
"1302800010329",118,130,222,108,187,1172,259,59,69,105,58,87,553,114,59,61,117,50,100,619,145
"1302800010437",112,138,288,132,211,1447,270,63,76,157,63,106,660,136,49,62,131,69,105,787,134
"1302800010441",90,75,188,88,140,984,163,37,34,103,52,72,445,76,53,41,85,36,68,539,87
"1302800010475",72,79,172,92,144,845,122,36,43,85,56,64,398,56,36,36,87,36,80,447,66
"130280001048A",90,88,180,92,184,1098,178,47,43,96,43,90,488,86,43,45,84,49,94,610,92
"1302800010494",106,122,236,118,186,1132,192,54,61,119,56,96,484,93,52,61,117,62,90,648,99
"1302800010507",137,136,297,146,226,1504,258,73,74,140,65,120,701,117,64,62,157,81,106,803,141
"1302800010526",82,95,189,80,137,799,172,43,55,82,42,72,373,89,39,40,107,38,65,426,83
"1302800010545",65,83,175,86,139,864,249,31,47,84,45,74,404,124,34,36,91,41,65,460,125
"130280001055A",53,58,157,67,91,646,127,27,33,86,30,48,292,58,26,25,71,37,43,354,69
"1302800010583",82,108,172,99,160,938,216,49,58,82,47,79,421,104,33,50,90,52,81,517,112
"1302800010598",104,120,263,117,171,1113,278,52,60,140,55,86,505,119,52,60,123,62,85,608,159
"130280001062A",4,6,8,9,7,44,0,3,4,4,6,0,21,0,0,0,4,3,5,25,0
"1302800010634",39,48,100,29,63,370,68,17,28,56,16,38,169,32,22,20,44,13,25,201,36
"1302800010649",72,70,188,75,139,807,134,41,41,87,34,75,359,64,31,29,101,41,64,448,70
"1302800010653",0,4,3,0,3,15,3,0,0,0,0,3,4,0,0,0,3,0,0,11,3
"1302800010668",0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"1302800010672",0,0,4,0,0,8,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0
"130280002",26,27,50,33,41,183,58,15,13,21,19,19,84,31,11,14,29,14,22,99,27
"130280003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130280006",9,6,20,9,22,52,13,6,5,11,4,13,28,5,3,1,9,5,9,24,8
"130280007",67,52,130,66,77,445,129,36,25,59,40,39,207,68,31,27,71,26,38,238,61
"130280008",42,40,77,46,56,307,65,19,19,38,26,35,150,30,23,21,39,20,21,157,35
"130280009",56,65,119,71,118,426,120,27,33,57,33,55,203,52,29,32,62,38,63,223,68
"130280010",33,25,92,46,63,261,76,22,14,44,20,34,135,38,11,11,48,26,29,126,38
"130280011",15,19,34,22,34,131,28,7,5,12,16,18,67,16,8,14,22,6,16,64,12
"130280012",2,1,4,8,5,18,3,0,1,2,4,4,9,2,2,0,2,4,1,9,1
"130280013",20,30,59,30,31,161,39,7,16,26,18,16,81,20,13,14,33,12,15,80,19
"130280014",20,9,30,31,29,122,107,9,6,15,19,21,52,51,11,3,15,12,8,70,56
"130280015",53,56,148,77,107,382,93,29,37,74,35,50,186,44,24,19,74,42,57,196,49
"130280016",7,12,23,16,26,85,34,3,7,14,10,15,43,19,4,5,9,6,11,42,15
"130280017",21,27,82,30,63,181,82,10,10,38,13,38,87,44,11,17,44,17,25,94,38
"130280018",32,38,77,40,53,240,78,16,19,37,15,21,112,38,16,19,40,25,32,128,40
"130280020",6,5,10,10,8,59,40,3,4,7,8,2,24,21,3,1,3,2,6,35,19
"130280021",68,61,125,66,94,443,162,39,33,59,33,45,213,78,29,28,66,33,49,230,84
"130280022",20,23,46,22,28,145,87,11,13,20,15,14,67,48,9,10,26,7,14,78,39
"130280023",110,134,384,162,295,1525,759,56,64,210,75,166,695,366,54,70,174,87,129,830,393
"1302800230333",33,40,108,37,73,392,198,19,18,53,16,46,163,100,14,22,55,21,27,229,98
"1302800230348",32,42,120,48,94,454,244,16,22,68,24,50,214,113,16,20,52,24,44,240,131
"1302800230352",25,29,63,44,77,347,139,13,14,30,20,47,162,68,12,15,33,24,30,185,71
"1302800230367",18,20,84,31,43,311,165,7,8,51,15,18,148,78,11,12,33,16,25,163,87
"1302800230390",0,0,7,0,6,18,13,0,0,6,0,3,7,7,0,0,0,0,3,11,6
"1302800230687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130280024",44,52,123,64,75,208,44,18,30,59,28,36,94,22,26,22,64,36,39,114,22
"130280025",43,50,148,83,83,417,153,22,33,75,40,37,194,82,21,17,73,43,46,223,71
"130280026",19,25,48,34,47,292,47,6,12,29,20,21,142,24,13,13,19,14,26,150,23
"130280027",9,14,32,11,19,127,38,1,7,19,6,11,58,20,8,7,13,5,8,69,18
"130280028",38,35,52,37,27,145,47,21,14,26,20,10,62,21,17,21,26,17,17,83,26
"130280030",39,47,93,45,71,272,78,19,30,46,17,37,127,42,20,17,47,28,34,145,36
"130280031",24,31,83,47,65,231,61,16,19,39,25,28,103,31,8,12,44,22,37,128,30
"130280032",19,37,46,31,38,214,56,11,24,23,14,21,97,25,8,13,23,17,17,117,31
"130280033",3,0,6,4,11,63,28,2,0,4,2,7,31,14,1,0,2,2,4,32,14
"130280034",19,21,43,21,32,127,38,10,12,28,11,20,64,20,9,9,15,10,12,63,18
"130280035",25,30,54,47,41,228,102,13,12,30,25,23,124,49,12,18,24,22,18,104,53
"130280036",24,30,66,30,28,193,66,13,14,33,11,14,85,32,11,16,33,19,14,108,34
"130280037",37,35,86,53,59,336,87,21,21,45,31,33,154,45,16,14,41,22,26,182,42
"130280040",14,12,24,22,25,99,19,5,4,15,12,14,49,12,9,8,9,10,11,50,7
"130280041",56,63,169,85,140,717,198,29,28,90,49,72,341,91,27,35,79,36,68,376,107
"130280042",259,226,468,225,390,1917,378,139,126,240,120,221,898,187,120,100,228,105,169,1019,191
"1302800420564",172,124,274,110,216,1057,209,87,65,152,61,122,507,105,85,59,122,49,94,550,104
"1302800420579",82,97,185,113,162,811,164,47,60,86,57,92,371,80,35,37,99,56,70,440,84
"1302800420600",5,5,8,0,9,40,0,5,0,0,0,5,17,0,0,4,6,0,4,23,0
"1302800420615",0,0,0,0,3,11,3,0,0,0,0,0,7,0,0,0,0,0,0,10,0
"130280044",19,23,59,27,41,194,70,10,12,26,15,24,87,30,9,11,33,12,17,107,40
"130280045",32,23,78,28,46,191,79,19,8,38,16,23,85,34,13,15,40,12,23,106,45
"130280046",17,9,27,18,17,92,34,6,4,9,7,10,44,16,11,5,18,11,7,48,18
"130280050",26,19,50,28,29,179,49,9,8,18,15,14,84,22,17,11,32,13,15,95,27
"130280051",37,24,78,38,46,225,63,16,10,42,18,24,95,37,21,14,36,20,22,130,26
"130280052",30,46,91,64,78,312,118,16,34,51,30,41,140,47,14,12,40,34,37,172,71
"130280053",21,23,35,30,24,193,60,9,14,21,16,14,96,30,12,9,14,14,10,97,30
"130280054",43,29,103,63,93,335,131,21,18,55,34,46,164,60,22,11,48,29,47,171,71
"130280055",2,3,12,11,11,82,56,0,1,10,4,5,47,25,2,2,2,7,6,35,31
"130280056",28,27,70,35,56,200,91,17,17,33,21,26,80,50,11,10,37,14,30,120,41
"130280057",122,119,253,115,192,845,222,70,62,128,56,91,362,119,52,57,125,59,101,483,103
"130280058",24,24,60,28,37,115,40,11,17,24,12,19,46,22,13,7,36,16,18,69,18
"130280059",6,6,20,10,21,78,83,2,2,9,4,13,34,43,4,4,11,6,8,44,40
"130280061",34,48,77,48,61,314,75,14,27,36,27,33,146,34,20,21,41,21,28,168,41
"130280062",51,56,168,80,74,433,136,27,25,78,37,38,172,59,24,31,90,43,36,261,77
"130280063",30,37,82,52,60,237,95,17,20,35,28,28,111,45,13,17,47,24,32,126,50
"130280064",51,48,97,49,73,439,164,23,22,47,20,45,203,85,28,26,50,29,28,236,79
"130280065",6,8,31,13,12,58,20,3,2,13,6,5,31,9,3,6,18,7,7,27,11
"130280066",105,66,198,110,176,714,101,56,37,107,58,80,368,50,49,29,91,52,96,346,51
"130280067",26,38,54,35,57,227,82,15,15,32,19,31,106,41,11,23,22,16,26,121,41
"130280069",154,161,339,171,222,978,221,88,82,163,82,124,450,116,66,79,176,89,98,528,105
"130280070",7,9,51,17,21,81,50,3,4,27,9,11,36,29,4,5,24,8,10,45,21
"130280071",51,52,94,46,75,446,103,25,26,51,26,35,222,47,26,26,43,20,40,224,56
"130280072",19,19,48,28,34,191,74,12,5,25,11,15,93,37,7,14,23,17,19,98,37
"130280073",7,9,19,17,29,59,43,5,5,10,7,13,23,24,2,4,9,10,16,36,19
"130280075",9,14,35,19,32,161,82,3,8,17,9,14,74,41,6,6,18,10,18,87,41
"130280076",8,15,40,30,24,133,50,2,13,26,17,17,62,23,6,2,14,13,7,71,27
"130280078",41,41,98,47,57,348,139,23,23,41,16,24,170,73,18,18,57,31,33,178,66
"130280079",14,7,25,25,23,130,43,11,5,16,14,12,62,23,3,2,9,11,11,68,20
"130280080",58,74,152,93,126,523,201,37,38,70,50,62,235,93,21,36,82,43,64,288,108
"130280081",88,89,224,113,140,666,253,41,40,113,61,71,291,127,47,49,111,52,69,375,126
"130280082",2,3,5,7,9,31,25,1,1,2,2,3,19,11,1,2,3,5,6,12,14
"130280083",23,25,56,29,46,203,119,11,8,25,13,20,96,60,12,17,31,16,26,107,59
"130280084",22,30,53,28,28,123,24,12,15,26,15,17,59,16,10,15,27,13,11,64,8
"130280085",45,37,123,55,64,222,70,18,20,69,28,35,101,39,27,17,54,27,29,121,31
"130280086",23,26,63,25,19,148,27,7,9,35,10,8,76,13,16,17,28,15,11,72,14
"130280087",110,145,238,123,172,754,170,37,81,125,63,89,363,80,73,64,113,60,83,391,90
"130280088",148,149,367,160,299,1546,403,76,79,185,77,158,706,189,72,70,182,83,141,840,214
"1302800880456",67,66,144,83,140,728,173,34,33,71,43,71,329,79,33,33,73,40,69,399,94
"1302800880460",79,71,209,74,152,779,225,41,41,109,32,83,363,107,38,30,100,42,69,416,118
"1302800880530",0,12,14,3,7,39,5,0,5,5,0,4,14,3,0,7,9,0,3,27,0
"130280089",5,16,24,6,10,89,31,4,6,15,4,5,42,14,1,10,9,2,5,47,17
"130280090",6,7,25,10,16,66,23,3,4,9,4,10,32,9,3,3,16,6,6,34,14
"130280091",10,4,22,12,11,75,27,2,2,10,6,6,34,13,8,2,12,6,5,41,14
"130280092",13,27,47,28,43,166,34,7,12,21,16,25,80,16,6,15,26,12,18,86,18
"130280093",82,55,144,73,139,575,135,49,35,87,36,79,287,67,33,20,57,37,60,288,68
"130280094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130280096",25,27,55,35,19,152,25,10,11,31,18,7,69,15,15,16,24,17,12,83,10
"130280098",8,18,56,25,38,125,55,5,10,30,15,14,62,27,3,8,26,10,24,63,28
"130280099",28,37,47,32,40,244,98,12,16,20,14,17,116,51,16,21,27,18,23,128,47
"130280101",6,4,17,8,15,41,14,4,3,8,4,7,24,7,2,1,9,4,8,17,7
"130280102",11,13,18,8,8,69,47,5,7,13,5,3,32,21,6,6,5,3,5,37,26
"130280103",110,112,286,147,165,944,287,64,55,136,73,81,458,150,46,57,150,74,84,486,137
"130280104",40,38,93,40,62,331,76,25,24,46,21,27,154,39,15,14,47,19,35,177,37
"130280106",7,9,12,5,9,42,28,0,6,8,3,4,19,12,7,3,4,2,5,23,16
"130280108",11,16,30,16,23,106,33,6,8,12,13,9,48,17,5,8,18,3,14,58,16
"130280110",18,25,39,36,28,140,95,11,17,21,25,17,68,47,7,8,18,11,11,72,48
"130280111",22,21,60,33,54,238,122,9,8,29,13,28,111,61,13,13,31,20,26,127,61
"130280112",92,96,175,104,168,595,141,53,47,87,52,87,290,64,39,49,88,52,81,305,77
"130280113",4,1,4,1,6,27,14,2,0,2,1,2,14,8,2,1,2,0,4,13,6
"130280114",13,14,33,24,16,76,20,5,4,22,10,7,37,8,8,10,11,14,9,39,12
"130280116",20,14,32,14,17,77,36,9,5,13,7,10,33,18,11,9,19,7,7,44,18
"130280118",16,16,31,17,19,159,39,10,4,14,9,9,86,19,6,12,17,8,10,73,20
"130280119",11,15,27,18,25,102,45,2,11,17,8,10,41,21,9,4,10,10,15,61,24
"130280121",15,12,25,22,18,109,36,10,4,16,11,11,50,17,5,8,9,11,7,59,19
"130280123",21,33,82,51,68,240,116,14,20,50,23,35,110,63,7,13,32,28,33,130,53
"130280125",0,0,0,0,0,13,4,0,0,0,0,0,6,1,0,0,0,0,0,7,3
"130280127",11,4,20,11,14,71,19,4,1,6,7,6,38,6,7,3,14,4,8,33,13
"130280128",13,9,26,11,16,91,21,6,5,11,6,10,47,9,7,4,15,5,6,44,12
"130280129",11,8,23,14,16,61,13,4,6,10,7,11,29,6,7,2,13,7,5,32,7
"130280130",10,5,19,10,14,99,47,8,2,7,3,3,48,20,2,3,12,7,11,51,27
"130280131",21,11,46,22,38,127,24,9,6,26,15,16,58,12,12,5,20,7,22,69,12
"130280132",18,11,30,10,17,87,22,11,4,15,8,10,43,9,7,7,15,2,7,44,13
"130280133",26,19,46,29,35,175,44,14,10,17,16,15,82,20,12,9,29,13,20,93,24
"130280134",32,32,72,42,51,279,72,19,15,37,25,27,133,36,13,17,35,17,24,146,36
"130280135",14,15,45,15,15,108,23,9,9,22,9,9,55,9,5,6,23,6,6,53,14
"130280137",31,42,76,30,49,246,45,18,20,35,19,17,113,21,13,22,41,11,32,133,24
"130280142",7,4,21,8,8,56,21,5,2,10,3,3,25,11,2,2,11,5,5,31,10
"130280143",3,1,8,2,2,14,1,3,0,4,2,2,5,0,0,1,4,0,0,9,1
"130280144",13,3,5,4,8,49,9,6,2,4,2,4,24,4,7,1,1,2,4,25,5
"130280145",25,37,57,28,34,164,29,16,19,31,16,16,83,15,9,18,26,12,18,81,14
"130280146",2,0,1,2,4,11,5,1,0,1,0,1,5,3,1,0,0,2,3,6,2
"130280148",4,7,5,10,19,37,6,2,2,5,6,10,16,3,2,5,0,4,9,21,3
"130280149",15,12,11,11,29,79,14,9,6,5,6,14,43,7,6,6,6,5,15,36,7
"130280150",5,3,4,4,7,31,5,4,1,1,1,4,16,2,1,2,3,3,3,15,3
"130280151",1,2,10,5,1,19,9,0,2,2,1,1,10,5,1,0,8,4,0,9,4
"130280152",18,21,54,23,21,131,35,11,9,25,14,11,52,22,7,12,29,9,10,79,13
"130280153",6,3,14,5,11,40,12,5,2,5,2,5,21,6,1,1,9,3,6,19,6
"130280155",2,3,6,4,10,22,6,0,2,3,3,5,11,3,2,1,3,1,5,11,3
"130280156",4,8,21,11,12,33,12,2,6,11,4,8,15,6,2,2,10,7,4,18,6
"130280157",13,13,24,16,18,56,15,6,6,14,9,6,28,9,7,7,10,7,12,28,6
"130280173",1,4,8,9,9,20,19,1,3,1,2,9,10,9,0,1,7,7,0,10,10
"130280175",10,10,45,25,22,99,15,4,2,28,11,12,48,8,6,8,17,14,10,51,7
"130280176",9,6,20,9,16,38,10,5,2,5,7,9,17,6,4,4,15,2,7,21,4
"130280179",2,1,1,3,2,9,1,1,1,1,2,2,5,0,1,0,0,1,0,4,1
"130280180",16,15,34,21,34,103,50,8,6,15,10,16,45,22,8,9,19,11,18,58,28
"130280182",2,0,12,6,5,38,13,2,0,8,5,3,16,7,0,0,4,1,2,22,6
"130280183",14,10,22,12,20,94,24,9,7,12,6,14,46,11,5,3,10,6,6,48,13
"130280184",13,27,39,12,28,116,29,10,17,20,6,13,60,16,3,10,19,6,15,56,13
"130280185",8,3,6,4,10,33,12,4,0,4,2,5,13,6,4,3,2,2,5,20,6
"130280186",29,34,57,43,46,167,54,13,19,26,24,28,68,26,16,15,31,19,18,99,28
"130280188",10,7,22,3,10,57,6,3,5,7,1,5,24,5,7,2,15,2,5,33,1
"130280189",10,19,36,14,22,138,41,4,11,16,4,7,68,17,6,8,20,10,15,70,24
"130280191",36,32,58,24,48,218,39,25,14,26,12,23,103,20,11,18,32,12,25,115,19
"130280192",27,23,58,31,22,192,43,15,12,29,14,10,88,24,12,11,29,17,12,104,19
"130280193",7,9,23,13,11,62,16,4,4,11,4,5,26,9,3,5,12,9,6,36,7
"130280194",15,13,30,10,16,74,17,7,8,15,5,8,38,7,8,5,15,5,8,36,10
"130280195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130280196",8,9,9,6,9,42,5,2,6,4,4,7,20,2,6,3,5,2,2,22,3
"130280197",23,33,63,33,61,196,56,10,15,24,19,36,98,23,13,18,39,14,25,98,33
"130280198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130280199",4,8,12,5,10,50,10,2,4,8,0,4,24,5,2,4,4,5,6,26,5
"130280200",2,3,3,3,8,25,7,0,1,2,2,5,10,4,2,2,1,1,3,15,3
"130280201",12,20,32,18,25,110,16,4,12,17,10,10,54,9,8,8,15,8,15,56,7
"130280202",3,6,10,7,9,45,9,2,2,3,5,3,20,6,1,4,7,2,6,25,3
"130280203",20,16,44,29,37,146,36,9,6,27,13,19,71,17,11,10,17,16,18,75,19
"130280204",4,5,14,5,2,42,35,2,3,5,2,2,18,18,2,2,9,3,0,24,17
"130280205",8,9,23,12,21,84,28,4,7,12,4,11,42,16,4,2,11,8,10,42,12
"130280206",23,31,62,41,52,298,31,9,15,33,20,25,123,14,14,16,29,21,27,175,17
"130280207",5,7,14,5,6,37,5,2,4,6,3,3,18,2,3,3,8,2,3,19,3
"130280208",0,1,2,1,0,8,9,0,0,1,0,0,5,4,0,1,1,1,0,3,5
"130280209",3,6,14,12,9,47,8,1,0,5,7,4,22,2,2,6,9,5,5,25,6
"130280210",38,28,65,39,39,203,38,23,14,36,18,20,103,18,15,14,29,21,19,100,20
"130280211",0,3,10,10,3,13,3,0,1,5,7,3,6,2,0,2,5,3,0,7,1
"130280212",9,15,23,13,16,39,9,5,10,11,7,11,19,5,4,5,12,6,5,20,4
"130280213",4,4,13,4,8,36,4,3,2,6,1,2,20,2,1,2,7,3,6,16,2
"130280215",3,3,8,6,14,29,16,3,1,6,3,6,17,6,0,2,2,3,8,12,10
"130280216",21,27,56,25,42,156,31,12,20,32,12,27,70,17,9,7,24,13,15,86,14
"130280217",0,2,2,1,1,14,12,0,1,1,0,1,7,5,0,1,1,1,0,7,7
"130280218",2,3,7,5,9,23,11,1,1,3,4,7,8,6,1,2,4,1,2,15,5
"130280219",9,4,16,8,15,42,7,6,2,9,2,9,20,3,3,2,7,6,6,22,4
"130280220",7,8,23,9,18,111,15,3,2,16,2,8,48,9,4,6,7,7,10,63,6
"130280221",0,0,1,0,0,4,2,0,0,1,0,0,3,1,0,0,0,0,0,1,1
"130280222",2,6,14,9,7,34,15,0,1,5,4,1,16,8,2,5,9,5,6,18,7
"130280223",3,2,8,2,4,15,7,0,1,3,2,4,6,4,3,1,5,0,0,9,3
