"CVEGEO","POB_0a2","POB_3a5","POB_6a11","POB_12a14","POB_15a19","POB_20a59","POB_60ymas","POBM_0a2","POBM_3a5","POBM_6a11","POBM_12a14","POBM_15a19","POBM_20a59","POBM_60ymas","POBF_0a2","POBF_3a5","POBF_6a11","POBF_12a14","POBF_15a19","POBF_20a59","POBF_60ymas"
"130020006",17,17,34,13,26,106,26,10,8,17,4,14,55,11,7,9,17,9,12,51,15
"130020007",257,270,557,264,447,1858,340,110,137,283,132,208,872,154,147,133,274,132,239,986,186
"1300200070214",149,156,309,156,249,1006,167,62,79,155,78,114,472,75,87,77,154,78,135,534,92
"1300200070229",108,114,248,108,198,852,173,48,58,128,54,94,400,79,60,56,120,54,104,452,94
"1300200070252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130020008",139,149,256,137,233,736,98,59,65,126,65,119,332,35,80,84,130,72,114,404,63
"130020009",17,11,20,17,17,105,27,6,3,9,8,7,51,11,11,8,11,9,10,54,16
"130020010",159,189,359,165,267,1260,292,93,95,182,80,123,555,133,66,94,177,85,144,705,159
"130020011",44,50,91,50,63,312,70,15,26,41,27,28,152,28,29,24,50,23,35,160,42
"130020012",114,146,292,158,229,1126,253,49,69,159,75,120,521,103,65,77,133,83,109,605,150
"130020013",315,311,551,248,380,1860,385,167,151,274,113,189,781,125,148,160,277,135,191,1079,260
"1300200130163",87,94,172,57,100,529,111,45,42,80,27,52,233,35,42,52,92,30,48,296,76
"1300200130178",110,95,154,83,124,522,92,60,54,74,40,56,211,31,50,41,80,43,68,311,61
"1300200130233",52,56,96,45,49,323,96,25,24,52,22,22,123,29,27,32,44,23,27,200,67
"1300200130248",59,61,122,59,98,460,81,32,26,64,23,54,202,29,27,35,58,36,44,258,52
"1300200130267",7,5,7,4,9,26,5,5,5,4,0,5,13,0,0,0,3,3,4,14,4
"130020014",24,26,77,50,62,213,41,13,16,36,28,28,101,16,11,10,41,22,34,112,25
"130020015",14,29,33,29,25,168,54,7,14,20,15,16,75,28,7,15,13,14,9,93,26
"130020016",387,341,725,401,551,2336,370,182,153,359,202,272,1102,148,205,188,366,199,279,1234,222
"1300200160106",149,137,301,159,234,950,158,69,56,148,85,113,446,60,80,81,153,74,121,504,98
"1300200160144",10,16,29,16,19,89,12,5,9,12,7,11,39,5,5,7,17,9,8,50,7
"1300200160159",19,13,34,22,24,92,10,8,6,20,12,15,48,0,11,7,14,10,9,46,8
"1300200160182",66,49,87,47,87,378,69,34,25,50,29,41,182,28,32,24,37,18,46,196,41
"1300200160197",114,110,225,129,154,687,101,56,48,108,55,77,324,43,58,62,117,74,77,363,58
"1300200160271",29,16,49,28,33,140,20,10,9,21,14,15,65,10,19,7,28,14,18,75,10
"130020017",81,73,190,89,125,685,146,27,39,85,41,57,317,61,54,34,105,48,68,368,85
"130020018",37,53,119,58,74,413,66,17,28,56,30,39,201,26,20,25,63,28,35,212,40
"130020020",14,15,26,10,14,91,13,5,10,9,7,7,42,7,9,5,17,3,7,49,6
"130020021",79,98,190,93,126,710,163,39,47,94,45,62,337,72,40,51,96,48,64,373,91
"130020024",14,9,38,16,32,94,19,7,3,19,8,18,46,8,7,6,19,8,14,48,11
"130020025",20,21,60,29,35,170,36,5,12,38,12,20,79,16,15,9,22,17,15,91,20
"130020026",140,132,230,140,206,1029,236,66,63,117,63,91,461,109,74,69,113,77,115,568,127
"130020027",18,19,51,17,25,131,36,8,10,21,11,13,68,15,10,9,30,6,12,63,21
"130020028",153,174,394,165,270,935,126,86,78,201,83,117,422,54,67,96,193,82,153,513,72
"130020029",23,27,34,20,32,159,34,15,9,15,13,10,73,15,8,18,19,7,22,86,19
"130020030",17,10,33,21,27,77,11,11,3,15,6,11,37,5,6,7,18,15,16,40,6
"130020031",42,47,101,40,78,447,55,16,28,53,19,27,206,21,26,19,48,21,51,241,34
"130020032",21,23,37,15,22,141,40,10,12,15,8,9,66,18,11,11,22,7,13,75,22
"130020034",3,10,14,6,6,52,24,3,5,9,4,3,24,12,0,5,5,2,3,28,12
"130020036",14,28,45,20,32,134,23,11,13,22,11,14,61,12,3,15,23,9,18,73,11
"130020037",5,4,4,3,7,16,1,1,2,3,1,2,7,0,4,2,1,2,5,9,1
"130020039",73,61,110,67,93,332,48,33,29,64,26,49,164,22,40,32,46,41,44,168,26
"130020040",0,3,9,7,3,30,6,0,3,5,4,2,15,3,0,0,4,3,1,15,3
"130020041",9,7,11,9,8,47,8,5,6,5,5,4,20,3,4,1,6,4,4,27,5
"130020042",2,6,12,8,13,46,6,2,3,5,5,8,19,2,0,3,7,3,5,27,4
"130020044",18,21,34,14,26,143,20,5,11,19,7,11,59,8,13,10,15,7,15,84,12
"130020045",45,48,100,45,73,369,85,20,22,47,27,34,168,42,25,26,53,18,39,201,43
"130020046",6,1,8,8,1,19,1,3,1,5,6,1,9,1,3,0,3,2,0,10,0
"130020047",19,14,40,17,31,121,13,10,9,18,10,16,48,5,9,5,22,7,15,73,8
"130020049",15,15,29,12,17,89,21,6,9,10,8,8,41,8,9,6,19,4,9,48,13
"130020050",24,23,34,16,26,126,23,9,12,14,9,14,58,8,15,11,20,7,12,68,15
"130020051",6,5,4,5,10,25,4,4,3,4,2,5,11,2,2,2,0,3,5,14,2
"130020052",7,9,19,7,4,39,22,3,3,9,4,3,16,10,4,6,10,3,1,23,12
"130020053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130020054",8,6,7,6,11,46,6,4,4,2,3,6,22,1,4,2,5,3,5,24,5
"130020058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130020059",7,8,12,1,4,28,2,6,3,6,0,3,10,1,1,5,6,1,1,18,1
"130020061",6,11,12,12,7,35,3,4,8,7,8,5,15,2,2,3,5,4,2,20,1
"130020062",12,11,31,15,17,71,20,8,6,17,6,5,32,10,4,5,14,9,12,39,10
"130020064",0,0,3,0,1,3,2,0,0,2,0,0,0,1,0,0,1,0,1,3,1
"130020065",5,3,9,2,9,37,3,4,0,2,1,4,22,1,1,3,7,1,5,15,2
"130020066",29,40,70,29,66,175,34,18,17,29,13,34,75,18,11,23,41,16,32,100,16
"130020067",16,5,18,4,2,34,6,11,3,9,2,1,8,2,5,2,9,2,1,26,4
"130020069",19,18,35,18,33,152,29,11,11,21,8,16,71,14,8,7,14,10,17,81,15
"130020070",16,14,25,13,14,91,15,9,10,11,5,5,43,5,7,4,14,8,9,48,10
"130020071",14,8,24,9,17,88,19,6,1,14,5,12,39,9,8,7,10,4,5,49,10
"130020072",16,16,45,23,26,185,25,8,7,20,13,7,90,13,8,9,25,10,19,95,12
"130030001",1369,1535,3262,1660,2725,17383,4340,676,807,1682,871,1359,7971,1895,693,728,1580,789,1366,9412,2445
"1300300010103",14,29,48,22,30,241,50,9,15,27,10,12,108,21,5,14,21,12,18,133,29
"1300300010118",50,64,130,85,108,576,89,23,34,74,38,49,262,44,27,30,56,47,59,314,45
"1300300010122",24,25,53,19,42,254,52,7,12,31,8,24,122,20,17,13,22,11,18,132,32
"1300300010141",193,183,371,156,286,1688,328,78,90,190,81,140,776,141,115,93,181,75,146,912,187
"1300300010156",76,75,158,74,129,718,121,40,35,80,44,69,327,63,36,40,78,30,60,391,58
"1300300010160",183,201,439,253,395,2417,358,83,115,209,127,202,1096,140,100,86,230,126,193,1321,218
"1300300010175",90,109,227,104,213,1404,503,47,64,125,52,111,649,233,43,45,102,52,102,755,270
"130030001018A",54,62,143,64,105,738,220,29,36,66,34,50,338,102,25,26,77,30,55,400,118
"1300300010211",42,46,118,58,107,827,342,17,25,64,30,55,369,137,25,21,54,28,52,458,205
"1300300010226",41,46,120,63,96,677,258,21,22,63,29,42,314,103,20,24,57,34,54,363,155
"130030001025A",36,43,75,26,56,368,70,17,19,33,16,21,166,35,19,24,42,10,35,202,35
"1300300010264",40,40,72,43,78,495,61,21,21,34,18,36,221,28,19,19,38,25,42,274,33
"1300300010279",72,87,233,114,179,1126,412,30,49,127,67,83,485,180,42,38,106,47,96,641,232
"1300300010283",72,88,160,86,143,962,229,41,48,89,33,73,425,110,31,40,71,53,70,537,119
"1300300010300",0,3,3,4,3,23,6,0,3,0,0,0,10,4,0,0,0,3,0,18,0
"1300300010315",15,12,32,19,24,118,15,11,6,20,9,13,50,6,4,6,12,10,11,68,9
"130030001032A",6,16,18,7,18,89,9,4,10,10,4,10,50,4,0,6,8,3,8,39,5
"1300300010334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1300300010349",90,88,195,100,189,1183,415,54,45,101,50,103,561,167,36,43,94,50,86,622,248
"1300300010353",61,74,173,94,142,860,223,28,38,82,54,63,409,96,33,36,91,40,79,451,127
"1300300010368",134,161,329,178,249,1813,459,73,74,171,111,137,853,206,61,87,158,67,112,960,253
"1300300010372",74,82,165,91,133,805,119,41,46,85,55,64,382,55,33,36,80,36,69,423,64
"130030002",0,1,5,2,0,10,17,0,1,4,1,0,4,7,0,0,1,1,0,6,10
"130030003",24,28,60,32,56,392,106,12,17,34,17,32,186,47,12,11,26,15,24,206,59
"130030004",65,81,176,107,147,797,170,36,44,82,57,78,363,71,29,37,94,50,69,434,99
"130030005",120,145,379,155,272,1637,326,60,73,192,81,150,782,160,60,72,187,74,122,855,166
"1300300050391",77,96,223,93,178,1053,205,37,49,105,45,101,509,105,40,47,118,48,77,544,100
"1300300050404",43,49,156,62,94,584,121,23,24,87,36,49,273,55,20,25,69,26,45,311,66
"130030006",16,25,52,25,32,193,74,11,12,26,16,15,92,34,5,13,26,9,17,101,40
"130030007",35,44,97,62,86,491,98,14,20,53,27,44,225,45,21,24,44,35,42,266,53
"130030009",66,98,225,105,187,989,209,35,44,112,53,89,451,97,31,54,113,52,98,538,112
"130030010",114,158,376,212,301,1847,476,53,77,206,116,150,864,231,61,81,170,96,151,983,245
"1300300100230",37,60,132,82,124,725,187,18,30,80,47,58,339,86,19,30,52,35,66,386,101
"1300300100245",77,98,244,130,177,1122,289,35,47,126,69,92,525,145,42,51,118,61,85,597,144
"130030011",121,136,276,141,208,1302,234,61,69,133,69,104,607,97,60,67,143,72,104,695,137
"130030012",131,157,300,147,249,1466,304,59,85,139,65,134,694,143,72,72,161,82,115,772,161
"1300300120086",131,157,300,147,249,1466,304,59,85,139,65,134,694,143,72,72,161,82,115,772,161
"130030013",85,91,175,103,158,857,246,49,41,84,56,83,395,115,36,50,91,47,75,462,131
"130030014",166,180,382,164,249,1626,364,82,88,201,79,109,756,173,84,92,181,85,140,870,191
"1300300140387",166,180,382,164,249,1626,364,82,88,201,79,109,756,173,84,92,181,85,140,870,191
"130030015",44,61,136,66,107,672,123,32,29,68,27,54,312,56,12,32,68,39,53,360,67
"130030016",13,18,52,27,27,161,62,4,11,23,12,13,72,34,9,7,29,15,14,89,28
"130030017",5,4,20,4,10,60,33,4,3,10,3,4,29,17,1,1,10,1,6,31,16
"130030018",0,0,4,2,2,6,14,0,0,0,1,1,2,6,0,0,4,1,1,4,8
"130030019",18,29,69,31,34,243,64,10,12,27,18,17,112,29,8,17,42,13,17,131,35
"130030020",45,71,157,65,103,573,108,29,35,82,36,52,266,51,16,36,75,29,51,307,57
"130030021",10,8,17,15,14,67,38,3,6,6,9,5,31,20,7,2,11,6,9,36,18
"130030023",23,47,79,34,57,356,67,10,20,37,15,25,176,32,13,27,42,19,32,180,35
"130030024",8,11,34,14,12,120,70,3,3,16,8,9,56,33,5,8,18,6,3,64,37
"130030026",16,9,33,17,30,157,44,7,6,21,7,11,75,23,9,3,12,10,19,82,21
"130030027",0,0,1,1,0,3,6,0,0,1,1,0,1,3,0,0,0,0,0,2,3
"130030028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130030035",2,4,6,1,3,30,19,1,3,3,1,2,16,9,1,1,3,0,1,14,10
"130030037",5,3,14,8,9,71,14,5,2,8,4,4,38,4,0,1,6,4,5,33,10
"130030038",2,0,1,0,1,11,2,0,0,1,0,0,5,1,2,0,0,0,1,6,1
"130030039",0,0,0,0,0,6,2,0,0,0,0,0,2,2,0,0,0,0,0,4,0
"130030040",32,27,58,27,63,271,77,16,15,30,13,29,119,39,16,12,28,14,34,152,38
"130030041",2,0,1,1,0,8,5,0,0,0,1,0,4,3,2,0,1,0,0,4,2
"130030043",7,11,45,14,13,110,24,4,4,24,8,8,56,12,3,7,21,6,5,54,12
"130030044",15,9,33,14,25,119,21,9,5,18,8,10,57,11,6,4,15,6,15,62,10
"130030047",3,0,2,6,3,18,7,2,0,1,3,0,10,4,1,0,1,3,3,8,3
"130030048",7,6,22,8,9,71,8,5,2,8,5,5,34,4,2,4,14,3,4,37,4
"130030049",0,3,14,1,2,18,8,0,1,4,1,1,10,3,0,2,10,0,1,8,5
"130030050",4,5,8,3,8,22,3,3,5,4,1,6,10,1,1,0,4,2,2,12,2
"130030051",3,1,16,5,3,37,17,2,0,5,1,2,17,8,1,1,11,4,1,20,9
"130030052",16,11,23,12,16,115,19,8,5,14,7,6,55,12,8,6,9,5,10,60,7
"130030053",9,5,17,9,8,66,20,5,4,10,4,4,32,11,4,1,7,5,4,34,9
"130040001",117,123,261,133,231,1205,255,57,61,127,67,99,535,112,60,62,134,66,132,670,143
"1300400010045",24,14,35,28,33,172,39,13,7,15,16,16,73,17,11,7,20,12,17,99,22
"130040001005A",46,58,113,43,86,479,87,23,28,51,22,38,224,38,23,30,62,21,48,255,49
"1300400010064",30,21,57,38,59,302,69,14,11,35,18,29,127,31,16,10,22,20,30,175,38
"1300400010079",16,28,53,21,43,228,51,7,14,24,11,15,98,21,9,14,29,10,28,130,30
"1300400010083",0,0,3,3,10,24,9,0,0,0,0,0,14,5,0,0,0,3,9,11,4
"130040002",38,28,76,46,51,321,84,22,12,32,24,21,151,41,16,16,44,22,30,170,43
"130040003",25,18,47,25,47,213,54,14,10,26,12,25,102,25,11,8,21,13,22,111,29
"130040004",28,36,77,33,51,285,50,15,19,46,14,29,142,23,13,17,31,19,22,143,27
"130040005",42,36,76,47,66,325,72,22,19,35,28,32,162,34,20,17,41,19,34,163,38
"130040006",23,22,30,18,38,152,38,10,10,16,12,13,78,18,13,12,14,6,25,74,20
"130040007",26,15,54,31,51,247,78,18,12,24,16,18,124,34,8,3,30,15,33,123,44
"130040008",41,37,84,43,64,365,85,20,18,35,20,34,171,41,21,19,49,23,30,194,44
"130040009",1,1,5,3,2,27,15,1,0,3,3,1,15,8,0,1,2,0,1,12,7
"130040010",16,13,26,10,22,136,37,6,6,8,5,5,65,18,10,7,18,5,17,71,19
"130040011",38,35,60,47,39,325,72,20,15,26,23,19,163,30,18,20,34,24,20,162,42
"130040012",17,16,22,18,31,160,46,6,8,12,10,12,76,15,11,8,10,8,19,84,31
"130040013",11,12,29,21,20,127,39,5,4,15,8,6,63,22,6,8,14,13,14,64,17
"130040014",12,18,30,17,27,161,43,6,12,19,7,12,74,19,6,6,11,10,15,87,24
"130040015",1,5,5,2,7,22,15,1,0,0,2,3,13,7,0,5,5,0,4,9,8
"130040016",4,3,16,8,15,51,22,3,0,12,6,8,22,13,1,3,4,2,7,29,9
"130040017",10,11,25,8,23,107,20,6,5,14,4,9,53,10,4,6,11,4,14,54,10
"130040018",11,5,23,10,17,66,29,7,2,6,5,10,29,12,4,3,17,5,7,37,17
"130040019",6,13,24,16,23,105,28,3,6,12,7,10,50,11,3,7,12,9,13,55,17
"130040020",19,19,33,25,25,133,41,13,7,22,16,14,59,18,6,12,11,9,11,74,23
"130040021",5,2,14,5,9,37,11,3,2,10,4,7,17,5,2,0,4,1,2,20,6
"130040022",8,11,32,9,19,75,32,4,6,16,3,8,34,13,4,5,16,6,11,41,19
"130040023",8,11,23,16,25,96,30,5,8,10,8,11,46,11,3,3,13,8,14,50,19
"130040024",22,25,52,16,32,161,37,12,13,24,9,15,84,15,10,12,28,7,17,77,22
"130040025",17,16,39,13,28,125,22,10,7,18,7,13,58,9,7,9,21,6,15,67,13
"130040028",0,2,5,2,3,20,11,0,2,2,0,1,9,6,0,0,3,2,2,11,5
"130040031",7,10,31,9,11,70,24,5,2,14,2,5,31,9,2,8,17,7,6,39,15
"130040032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130050001",296,404,836,391,684,4534,1109,151,196,420,201,344,2086,587,145,208,416,190,340,2448,522
"1300500010112",8,16,35,17,31,197,36,5,6,19,9,18,95,22,3,10,16,8,13,102,14
"130050001017A",4,3,13,4,6,74,10,3,0,8,0,4,38,7,0,3,5,0,0,38,3
"1300500010184",12,26,65,24,41,277,41,9,7,26,12,18,122,18,3,19,39,12,23,155,23
"1300500010199",118,137,251,126,243,1611,387,55,67,123,73,127,745,201,63,70,128,53,116,866,186
"1300500010201",66,90,183,76,146,880,267,26,43,95,42,76,393,142,40,47,88,34,70,487,125
"1300500010216",42,55,130,66,111,677,171,25,31,69,30,51,314,94,17,24,61,36,60,363,77
"1300500010220",37,56,122,63,89,662,183,21,33,61,27,38,303,96,16,23,61,36,51,359,87
"1300500010269",0,5,5,0,3,28,7,0,3,0,0,0,17,3,0,0,3,0,0,14,4
"1300500010273",4,3,6,3,0,35,3,3,0,0,0,0,18,0,0,0,4,0,0,20,0
"1300500010358",0,3,3,0,0,15,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0
"1300500010409",0,0,8,6,5,35,4,0,0,5,4,3,16,3,0,0,3,0,0,22,0
"1300500010432",0,0,4,0,0,10,0,0,0,3,0,0,5,0,0,0,0,0,0,5,0
"1300500010447",0,4,5,0,0,9,0,0,0,0,0,0,5,0,0,4,3,0,0,4,0
"1300500010451",0,0,3,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0
"1300500010466",0,0,3,0,0,22,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0
"130050002",3,17,25,13,20,137,53,2,10,10,9,8,64,28,1,7,15,4,12,73,25
"130050003",77,92,204,76,152,946,253,39,47,106,32,74,457,117,38,45,98,44,78,489,136
"130050004",23,34,73,36,48,335,86,10,18,27,19,27,156,43,13,16,46,17,21,179,43
"130050005",195,219,464,242,382,2443,613,100,95,226,127,214,1150,303,95,124,238,115,168,1293,310
"1300500050235",77,92,189,83,143,887,174,37,36,95,43,87,423,90,40,56,94,40,56,464,84
"130050005024A",112,120,266,156,226,1504,429,61,55,124,83,121,701,208,51,65,142,73,105,803,221
